CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
08K,369647,185741,183906,11229,9988,8460,8214,11179,22296,23612,19555,16373,15147,12133,8360,5979,4570,3238,2523,1722,794,310,59,10981,9597,8269,8094,14808,27166,23268,16792,13460,12373,10459,7645,5633,4558,3650,2917,2142,1361,582,151
08L,304253,148095,156158,11755,9844,8069,7790,9185,12992,14945,14043,12389,11921,9861,7252,5257,4206,3111,2548,1703,827,324,73,11078,9661,7740,7914,11494,15872,16260,13964,11786,11479,10118,7143,5196,4598,3762,3206,2363,1577,728,219
08M,362777,191036,171741,14863,13000,10841,10439,14959,24888,23541,18162,14550,12213,10030,7635,5271,3631,2604,2160,1407,596,208,38,14391,12593,10639,10421,15127,20950,18841,13866,11410,10335,8600,6583,5167,3899,3188,2547,1641,969,460,114
08N,288898,144135,144763,11354,10423,9287,8696,9330,12172,13613,11985,10203,9625,8675,7254,5911,5197,3585,2977,2090,1195,495,68,10975,9931,8627,8289,9335,12986,13746,11011,9674,9284,8261,7265,6137,5278,4159,3597,2930,2025,955,298
08P,207264,102430,104834,7385,6769,5484,4817,4632,5783,7959,9829,9836,9050,7579,5911,4898,4605,2873,2153,1531,900,363,73,7043,6569,5505,5026,5526,6658,9066,9545,9058,8131,6791,5499,4945,4820,3296,2544,2130,1553,868,261
08Q,304323,151098,153225,10557,9011,7222,7391,10110,16257,17566,14969,13245,12139,10072,7049,4916,3695,2571,2060,1288,697,245,38,10242,8609,7058,7275,13113,18741,17869,14120,11466,10661,9108,6642,4742,3984,3093,2599,1942,1216,594,151
08R,217673,109054,108619,7701,7078,5620,5360,5949,9180,11305,10834,9284,8339,7024,5513,4371,3899,2679,2185,1554,790,321,68,7489,6780,5433,5072,6494,10262,11360,9520,8104,7414,6598,5313,4576,4029,3056,2619,2131,1389,765,215
08T,187619,92394,95225,6660,6153,5457,5465,5236,5988,6910,7194,7338,7586,6587,5335,4319,4042,2768,2345,1661,935,352,63,6201,5818,5226,5236,5268,6467,7635,7157,7053,7432,6551,5110,4370,4523,3149,2987,2327,1643,833,239
08V,282403,146003,136400,10600,8853,7456,7218,12035,21203,21459,15669,11148,8152,6400,4906,3198,2376,1784,1668,1135,527,181,35,10042,8716,7376,7337,14435,22410,19051,11757,7649,5999,4901,4056,3394,2535,2161,1867,1414,870,352,78
08W,293771,149727,144044,11602,10151,8442,8212,9814,14273,15425,13737,12243,11050,9303,7077,5323,4314,3164,2658,1725,832,321,61,11005,9527,8236,7666,10549,14302,14320,11986,10500,10137,8383,6534,5326,4514,3540,2965,2175,1407,772,200
08X,375569,182682,192887,12738,10095,7744,7012,9606,20773,26339,21850,16492,12918,10244,7226,5692,4782,3440,2711,1730,868,350,72,12267,9785,7630,7216,14016,28469,28403,19667,13864,11397,9102,6987,6195,5411,4079,3337,2448,1561,797,256
08Y,234746,118483,116263,6573,6036,5017,4528,5816,9916,12828,12666,11706,10605,8695,6384,5234,4350,3198,2308,1439,764,323,97,6261,5776,4876,4596,7781,13241,13943,10963,9099,8253,6786,5520,4916,4516,3288,2613,1755,1192,674,214
09A,197291,103649,93642,4652,4048,3448,4800,10608,11360,12080,10868,9321,7962,6521,4905,3781,3240,2211,1656,1193,675,260,60,4477,3909,3428,4956,12145,11236,10421,8066,6246,5367,4770,3974,3585,3275,2404,2068,1548,1071,522,174
09C,126359,62114,64245,3884,4046,3963,4154,3718,3658,3685,3700,4502,4963,4522,3634,3394,3645,2494,1866,1251,693,303,39,3838,3909,3819,3760,3654,4038,3832,3890,4712,4970,4283,3734,3508,3918,2721,2132,1683,1092,573,179
09D,304819,152710,152109,7861,7668,6930,8470,13138,13229,13287,12757,13603,12871,10569,8035,6581,6099,4061,3204,2296,1364,553,134,7618,7383,6696,9278,15619,13878,12772,11478,11859,11125,9229,7095,6172,5999,4455,3824,3308,2495,1391,435
09E,216057,105301,110756,5205,5526,5685,7965,10603,7075,5982,5484,6476,7238,6805,6225,5938,6506,4599,3591,2318,1417,564,99,4877,5165,5239,8373,12293,6760,5810,5483,6624,7213,6951,6287,6206,7097,4990,4042,3316,2370,1285,375
09F,188342,90668,97674,4984,4962,4827,5463,5134,4968,4881,4699,5733,6410,6457,5554,5484,6487,4717,4055,3009,1906,789,149,4702,4492,4416,5477,5164,5208,5194,4979,5768,6615,6386,5932,6216,7188,5401,4819,4301,3085,1794,537
09G,495354,240716,254638,13110,13177,12460,13626,13410,12991,13180,12886,15858,18357,17326,15386,14770,17002,12778,10302,7498,4419,1875,305,12121,12298,11868,13097,13091,13076,13393,13261,16147,18202,17457,15911,15884,18870,14379,12398,10283,7352,4338,1212
09H,128016,64372,63644,4647,4147,3863,4007,3841,4662,5614,4958,4938,4937,4488,3703,2977,2616,1715,1308,1049,637,238,27,4264,3943,3512,3544,3850,5230,5441,4681,4423,4438,4163,3616,3001,2750,1838,1644,1649,1060,482,115
09J,253646,124404,129242,8524,8167,7589,7694,7480,8227,8301,7919,8835,9587,8787,7466,6431,6415,4615,3682,2718,1435,449,83,8331,7844,7016,7315,7704,8989,9087,8077,8881,9544,8738,7309,6673,7029,5084,4538,3576,2149,1091,267
09L,176033,86748,89285,5812,5643,5149,5081,4392,4905,5643,6301,6751,7100,6561,5330,4630,4686,2995,2447,1742,1092,419,69,5641,5381,4984,4868,4398,5286,6198,6296,6708,6800,6184,5135,4724,4677,3515,2857,2548,1802,974,309
09N,219708,108926,110782,6114,6432,6224,7085,7466,6927,6837,7232,8113,8382,7888,6748,5760,5778,4056,3240,2490,1419,617,118,5893,6127,5836,7159,7858,6510,6641,6955,7790,8112,7658,6522,5776,6131,4483,3942,3280,2333,1371,405
09P,183602,89624,93978,4841,4948,4757,5495,4863,4845,4710,4614,5652,6804,6672,5792,5810,6708,4597,3676,2596,1492,629,123,4595,4656,4567,5069,4856,4945,4730,4634,5772,6690,6425,6133,6287,7070,5096,4401,3541,2550,1545,416
09W,292037,143932,148105,9703,9388,8804,9444,9541,9973,9660,9106,10044,10986,10257,8703,7713,7683,5002,3841,2465,1159,387,73,9131,9156,8468,9082,10029,10196,10162,9400,10077,10886,10353,8651,7778,8048,5349,4611,3298,2068,1105,257
09X,229220,112921,116299,6571,6892,6980,7059,5499,5969,6638,6970,8568,9409,8785,7440,6456,6659,4536,3515,2776,1468,621,110,6313,6660,6499,6620,5302,5948,6764,7354,8698,9169,8572,7372,6590,7064,5016,4299,3595,2645,1418,401
09Y,358506,178320,180186,12020,11355,9963,9484,8818,10547,12704,13703,14301,14583,13519,10913,9107,8788,6269,5224,3835,2119,899,169,11379,10744,9344,9053,9283,11475,13324,13405,13623,13661,12501,10215,8932,9141,6894,6194,5112,3403,1936,567
10A,201988,99607,102381,5563,5638,5480,6214,5696,5639,5384,5277,6425,7572,7298,6621,6304,7138,4965,3820,2550,1342,561,120,5361,5422,5186,5820,5709,5537,5642,5402,6521,7258,7063,6666,6517,7247,5292,4269,3381,2406,1322,360
10C,92940,46045,46895,2769,2842,2657,2671,2418,2683,2883,3157,3688,3802,3568,2959,2439,2470,1864,1415,1011,548,169,32,2640,2716,2583,2508,2494,2714,3094,3107,3622,3718,3362,2838,2512,2647,1953,1681,1312,860,413,121
10D,107808,53555,54253,3623,3554,3221,3421,3384,3358,3316,3083,3616,4053,3792,3335,3026,3257,2199,1605,981,535,174,22,3376,3235,3169,3268,3309,3467,3527,3150,3673,3935,3736,3158,3092,3365,2251,1831,1351,826,440,94
10E,142590,69586,73004,4290,4249,4178,4551,4164,4062,3945,3742,4387,4846,4848,4269,4183,4699,3383,2545,1744,1023,403,75,3991,4007,3718,4167,4285,4373,4088,3898,4479,4970,4879,4353,4494,5055,3678,3023,2501,1763,1025,257
10G,138074,68656,69418,4314,4462,4413,4455,3635,4149,4652,4830,5512,5721,5455,4423,3588,3215,2157,1676,1167,584,215,33,4137,4250,4137,4442,3617,4331,4889,4891,5424,5548,5268,4162,3428,3438,2296,2025,1489,966,543,137
10H,329429,162285,167144,10047,10650,10178,9691,8766,8985,9696,10456,12161,13077,12259,10405,8922,8789,6385,5323,3698,1924,751,122,9524,10093,10012,9418,9071,9434,10358,10944,12241,12799,11980,10152,8972,9215,7017,6091,4674,3069,1618,462
10J,219136,109373,109763,7018,6797,6355,6439,5645,6388,7505,7592,8728,9112,8455,6738,5892,5901,4138,3043,2048,1088,420,71,6582,6388,6000,6065,5701,7044,7760,7448,8267,8644,8077,6482,5908,6328,4277,3435,2519,1711,864,263
10K,201821,99065,102756,5766,5823,5583,6072,5901,5648,5465,5310,6714,7538,7750,6852,5764,6421,4352,3558,2619,1344,506,79,5478,5458,5294,5394,5279,5906,5833,5705,7060,7916,7636,6508,6065,6868,5024,4226,3507,2140,1180,279
10L,141713,69195,72518,3395,3598,3581,4125,3720,3796,3498,3454,4173,5123,4920,4648,4712,5599,4067,3008,2066,1138,482,92,3242,3298,3349,3790,3531,3617,3441,3427,4427,5326,5168,4864,5093,5906,4347,3377,2824,2010,1170,311
10M,115867,57933,57934,3645,3628,3667,3550,2973,3414,3742,3849,4569,4765,4430,3644,3155,3218,2167,1573,1081,588,235,40,3410,3443,3466,3529,2930,3362,3755,3919,4395,4600,4070,3611,3213,3242,2190,1765,1405,959,544,126
10N,108980,54377,54603,3703,3510,3051,3032,2715,3364,3930,4261,4390,4369,3890,3301,2764,2756,1912,1553,1014,632,196,34,3443,3359,2926,2803,2704,3729,4082,4094,4169,4029,3594,3163,2901,2873,2141,1756,1308,912,509,108
10Q,701547,350160,351387,20802,20345,19396,22542,27138,25313,24968,23143,24982,26437,24714,20332,17849,17367,12372,10073,6940,3771,1417,259,19397,19589,18174,21483,27033,25582,24887,22200,24272,25507,23519,19635,18122,17817,13718,11187,8832,6160,3353,920
10R,218374,110220,108154,6792,6221,5480,6748,10747,9107,9080,7831,7935,7917,7454,6007,4934,4890,3296,2564,1788,968,393,68,6575,6021,5121,6726,10996,9164,8326,6684,6936,7299,6695,5587,4740,4871,3529,3176,2565,1814,1059,270
10T,147710,75130,72580,6369,5825,4772,4350,4605,6228,7335,6708,6092,5320,4512,3831,2967,1977,1529,1258,839,419,166,28,6247,5612,4441,4098,4595,6866,7693,6138,5064,4533,4015,3396,2570,2056,1647,1403,1160,663,300,83
10V,209561,102878,106683,5856,5879,5806,6222,5899,5750,5495,5258,6841,7918,8048,7133,6276,6607,4861,3918,2868,1558,605,80,5479,5619,5547,5999,5553,5683,5635,5514,6897,8185,8056,7084,6341,7246,5409,4685,3729,2431,1246,345
10W,132694,68012,64682,4636,3932,3184,3979,6704,6636,7281,6297,5295,4676,3983,3094,2320,2026,1478,1176,731,406,151,27,4444,3750,3091,4354,7609,6975,6644,4922,4087,3929,3319,2689,2160,2013,1425,1285,979,593,319,95
10X,268905,138051,130854,8751,7470,6338,8356,14897,12632,12296,10864,9619,9047,8254,7169,6046,5511,3910,2995,2105,1248,468,75,8110,7222,5942,8436,15176,11970,10705,8516,7735,7754,7383,6485,5808,5623,4071,3479,3010,2062,1080,287
10Y,202599,100299,102300,6229,6491,6315,6391,5432,5439,5850,6213,7418,8435,7881,6617,5672,5630,3807,2996,1966,1043,399,75,6037,6204,5831,5815,5328,5873,6202,6446,7761,8289,7670,6453,5745,5767,4159,3278,2492,1723,949,278
11A,546130,267768,278362,14726,15257,15148,16142,14686,14226,14767,15282,18547,20688,20266,17965,16370,17861,12463,10161,7221,4151,1556,285,14099,14735,14217,15245,15076,14518,15156,15702,18890,20938,20204,17735,17426,18539,13706,11613,9395,6589,3587,992
11C,153747,76503,77244,4707,4621,4321,4888,4739,4655,5342,5712,6135,6171,5435,4548,3877,3804,2600,2095,1596,859,334,64,4469,4281,3852,4248,5557,4985,5693,5650,5727,5702,5131,4242,3888,3968,2942,2503,2100,1319,775,212
11D,157043,78150,78893,4898,5108,4962,4526,3772,4270,4647,5549,6420,6454,6079,5075,4155,4213,2922,2345,1615,796,300,44,4612,4897,4526,4252,3667,4342,5064,5656,6199,6298,5856,4837,4367,4421,3161,2683,2045,1198,649,163
11E,199567,99649,99918,5037,5096,5192,6616,9028,6731,6096,6042,7108,7535,7141,6047,5313,5539,3806,3183,2193,1334,544,68,4655,4862,4986,6693,9519,6117,5650,5578,6653,7093,6742,5755,5509,5654,4253,3632,3006,2138,1139,284
11H,491253,249163,242090,16177,13701,11568,14042,21627,22688,23918,20989,19069,18048,15444,12788,10660,9635,6877,5064,3807,2096,823,142,15292,13377,11248,14589,23627,23878,22514,17468,15420,15026,13821,11617,10074,9466,7303,6183,5092,3565,2016,514
11J,777893,382933,394960,19779,19708,19447,22170,22634,22406,23263,22049,25499,28259,27529,24432,23425,26148,18909,15670,11463,6834,2816,493,18752,18768,18469,21521,23042,22622,22786,20807,24716,27055,26840,24828,24999,27565,20507,17696,15307,10844,6159,1677
11M,626586,309970,316616,17372,17568,17425,19166,18972,18350,18692,17745,21452,24473,23424,19970,18718,18768,13922,10793,7241,4067,1576,276,16571,16856,16770,18650,17938,18463,18670,17640,21618,24201,23012,19836,18994,19561,14778,11874,9687,6774,3733,990
11N,561994,277113,284881,14708,14801,14508,16055,16386,15748,15469,14836,18064,20314,20020,18541,18452,20796,14435,10810,7454,3965,1495,256,14045,13916,13776,15299,16195,15143,15021,14778,18425,20274,20029,19147,19621,21542,15175,12033,9373,6535,3592,962
11T,213985,105370,108615,6217,6272,5825,5898,5278,5548,6035,6169,7686,8384,7697,6720,6468,7116,5063,3982,2704,1554,634,120,5754,5793,5665,5658,5215,5651,6261,6307,7414,8049,7446,6802,6748,7651,5476,4501,3735,2559,1533,397
11X,552679,272128,280551,14597,15093,15510,17608,15133,14934,14737,13946,17989,20455,19981,17856,17632,18888,13527,10603,7505,4245,1614,275,14310,14558,14658,16047,14342,14985,14561,14414,18174,20371,20078,18124,18469,19638,14675,11804,9758,6866,3758,961
12A,261297,129803,131494,8125,7873,7445,8153,7588,8206,8509,8354,9597,10360,9630,7776,6972,7004,5220,4072,2800,1499,529,91,7662,7693,7039,7432,7232,8516,8638,8364,9349,10370,9280,7569,6990,7416,5735,4699,3709,2319,1160,322
12D,226865,113625,113240,7933,7377,6534,6541,6507,7504,8322,8088,9097,9236,8637,6822,5685,5224,3683,2866,2049,1057,408,55,7553,7019,6216,6370,6417,8112,8622,7950,8473,8588,7908,6355,5581,5382,3913,3325,2668,1721,878,189
12F,332502,163179,169323,9694,9707,9215,9842,9925,10226,9879,9113,11140,12150,12308,10807,10087,9771,7095,5403,3907,2039,740,131,9069,9318,8830,9248,9486,10415,9867,9388,11259,12468,12404,10814,10341,10314,7939,6696,5478,3712,1804,473
13A,43,36,7,0,0,0,1,4,7,9,2,4,5,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0
13P,743107,373909,369198,26342,26249,23929,24814,27422,27982,28707,26480,27328,26716,23810,19838,16521,15232,11350,9316,6707,3624,1316,226,25344,25217,22755,24075,27019,28434,27672,23601,24100,24604,22521,18602,16449,15717,12427,11468,9286,6085,2982,840
99A,501579,251311,250268,14471,13400,12277,15006,23211,22291,20164,16714,17392,17761,17984,15222,12887,11102,7737,6623,4243,2060,672,94,13885,12886,11800,15416,25044,21028,18349,14439,15701,16813,17213,14880,12742,11377,8785,8112,6101,3672,1665,360
99C,215946,105880,110066,6168,6254,5654,6035,6229,6578,7109,6741,7766,8116,7927,7053,6443,6216,4000,3426,2414,1261,432,58,5798,5851,5328,5611,5990,6904,7604,6874,7651,8017,8008,7267,6562,6570,4554,4268,3477,2360,1072,300
99D,160292,78632,81660,4269,4366,4382,4609,4050,4372,4517,4483,5569,6049,5767,5071,4941,5387,3918,3116,2120,1132,444,70,4074,4197,4251,4307,4086,4497,4616,4539,5741,6008,5743,5264,5128,5793,4156,3510,2764,1786,958,242
99E,268639,131921,136718,8414,8439,7981,8235,7807,8531,8564,8557,9533,10240,9678,8021,6886,7208,4700,3992,2949,1515,577,94,8074,7984,7619,7804,7694,8695,9024,8781,9414,10272,9533,8079,7221,7819,5524,5080,4009,2492,1289,311
99F,180830,89062,91768,4422,4822,4957,5623,5335,4988,4719,4758,6029,7092,6661,5672,5434,6334,4403,3611,2464,1210,472,56,4327,4562,4839,5113,5067,4747,4806,4915,6184,6829,6528,5631,5817,6911,4930,4248,3097,1949,1031,237
99G,184588,91888,92700,5705,5511,5218,5497,5370,5757,6265,5982,6947,7126,6967,5489,4830,5181,3432,2785,2039,1192,485,110,5351,5286,4794,5103,5442,6002,6217,5933,6555,6777,6275,5220,4943,5228,3838,3251,2808,2109,1222,346
99H,298107,146535,151572,8766,9297,8951,9034,7162,7464,8232,9521,11132,12165,11406,9522,8302,8394,5798,4759,3549,2062,853,166,8415,8808,8642,8344,7588,7624,8777,9979,11210,11878,11194,9094,8436,8799,6560,5631,4747,3353,1951,542
99J,470708,231113,239595,14693,15235,14209,14271,12001,12910,13554,14239,17370,18562,17180,14214,12792,13756,9465,7458,5265,2742,1012,185,13686,14072,13984,13578,12011,13644,14364,15102,17807,18846,16833,14299,13224,14343,10511,8583,6962,4604,2487,655
99K,167087,81804,85283,4339,4973,4979,4881,4305,4110,4035,4035,5573,6603,6387,5800,5315,5595,3999,3006,2135,1189,447,98,3984,4626,4675,4750,4056,3966,4084,4441,5981,6808,6574,5838,5483,6073,4341,3568,2717,1910,1090,318
99M,220447,109383,111064,6973,7085,6512,6471,6309,6431,6950,7368,8873,9134,8376,6510,5495,5856,4177,3215,2056,1093,424,75,6719,6683,6029,6159,6469,6876,7441,7648,8586,8799,7707,6262,5907,5990,4445,3673,2636,1796,962,277
99N,478956,234828,244128,13320,13728,13887,14605,12281,12237,12478,12605,16649,19028,18542,15996,14685,15117,10795,8438,5761,3222,1229,225,12583,13239,13451,14129,12066,12734,13014,13582,17621,19216,18314,15944,15131,15892,11615,9390,7486,5144,2860,717
99P,908589,446240,462349,24394,24043,23315,27807,32506,26871,25980,24249,28905,32243,31479,28428,27344,29522,21557,16500,11614,6427,2590,466,22767,22912,21962,27551,33024,26566,26151,24122,29094,32423,31744,28984,28703,31006,22877,19130,15389,10616,5726,1602
99Q,288395,141436,146959,7216,7406,7412,8359,7727,7647,7303,6969,9242,10564,10541,9536,9606,10780,7649,5833,4081,2364,1022,179,6850,6968,6932,7732,7261,7394,7289,7255,9198,10657,10873,9745,10203,11022,8313,6737,5486,4132,2290,622
UNKNOWN,86,70,16,0,1,1,1,4,9,10,13,10,11,9,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5,3,2,2,0,0,0,0,0,0,0,0
